,phi_h,Ti,Ta,phi_s
144000.0,0.0,295.7293659388403,268.05,4.33333333333
144900.0,0.0,295.58053978800274,268.111380208,1.5555555555549998
145800.0,0.0,295.43418604249456,268.1490625,0.0
146700.0,0.0,295.28919633010264,268.05403645800004,0.0
147600.0,0.0,295.1454609673314,267.85,0.0
148500.0,0.0,295.00265466018857,267.49622395800003,0.0
149400.0,0.0,294.86053843780724,267.1265625,0.0
150300.0,0.0,294.7187200907074,266.739192708,0.0
151200.0,0.0,294.57747028044713,266.35,0.0
152100.0,0.0,294.4372015278521,265.9331597221667,0.0
153000.0,0.0,294.2977779233884,265.502083333,0.0
153900.0,0.0,294.1595649397951,265.1029513888333,0.0
154800.0,0.0,294.02342909791565,264.75,0.0
155700.0,0.0,294.33039453476346,264.5660218255,0.0
156600.0,0.0,294.3516684101611,264.46845238099996,0.0
157500.0,0.0,294.2963188559395,264.45858134950004,0.0
158400.0,0.0,294.2176572721524,264.45,0.0
159300.0,0.0,294.13391393611175,264.42683531716665,0.0
160200.0,0.0,294.05210738912564,264.40654761900004,0.0
161100.0,0.0,293.97372084698344,264.3818948411667,0.0
162000.0,0.0,293.8974145226367,264.35,0.0
162900.0,0.0,293.36248043394033,264.3046875,0.0
163800.0,0.0,293.12711498946,264.25625,0.0
164700.0,0.0,292.96691305733214,264.2036458333333,0.0
165600.0,0.0,292.8274536550416,264.15,0.0
166500.0,0.0,292.6947269954619,264.0802083333333,0.0
167400.0,0.0,292.5622803426234,264.0,0.0
168300.0,0.0,292.4289821463136,263.9197916666667,0.0
169200.0,0.0,292.29729713519345,263.85,0.0
